reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,insturctions.started,key_instruct.started,insturctions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,polygon.started,choice.started,polygon.stopped,trial.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
22,50,98,0,62,62,55,195.12687145802192,,,,,,,,195.11228333308827,195.12687145802192,196.1102033330826,196.11642237508204,197.60238566598855,l,1.4779309580335394,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
11,30,7,0,63,63,0,197.61697700002696,,,,,,,,197.60310395807028,197.61697700002696,198.60214183304925,198.61028954107314,200.47901104099583,t,1.8754075829638168,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
14,41,48,0,64,64,29,200.49450270808302,,,,,,,,200.47971429105382,200.49450270808302,201.47702408302575,201.48366120806895,203.99555624998175,t,2.51048583292868,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
85,94,89,0,65,65,18,204.01197325007524,,,,,,,,203.99626566597726,204.01197325007524,204.99379116599448,205.0104162080679,206.21179091604427,t,1.200687500066124,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
17,56,105,0,66,66,65,206.2265462500509,,,,,,,,206.21249925007578,206.2265462500509,207.2105674580671,207.217078375048,209.32867045805324,l,2.110140333068557,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
15,35,13,0,67,67,1,209.34449095802847,,,,,,,,209.32937237503938,209.34449095802847,210.3272862500744,210.33384212502278,212.91892279102467,l,2.581070291926153,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
70,137,64,0,68,68,56,212.9379379580496,,,,,,,,212.9205852500163,212.9379379580496,213.9193417080678,213.9332566660596,215.72866250004154,l,1.804633166990243,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
18,86,40,0,69,69,93,215.744810541044,,,,,,,,215.72937525005545,215.744810541044,216.72743075003382,216.7340035000816,218.74576600000728,l,2.0064593330025673,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
5,63,106,0,70,70,57,218.76104895805474,,,,,,,,218.74648245808203,218.76104895805474,219.74418287503067,219.75030204106588,221.2618007500423,l,1.5026184159796685,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
86,157,50,0,71,71,40,221.27694995806087,,,,,,,,221.2625233749859,221.27694995806087,222.25356962508522,222.26679725002032,224.14532125007827,l,1.873623999999836,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
61,114,138,0,72,72,66,224.16054962505586,,,,,,,,224.14604020805564,224.16054962505586,225.14447958301753,225.15055008302443,226.56248791597318,l,1.405884417006746,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
11,79,86,0,73,73,34,226.57848654105328,,,,,,,,226.56320083304308,226.57848654105328,227.56104037503246,227.56762170803268,230.41929045808502,l,2.849555875058286,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
37,81,49,0,74,74,36,230.43329062499106,,,,,,,,230.42000400007237,230.43329062499106,231.4205303749768,231.4271183750825,232.553251208039,l,1.131306958035566,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
95,109,72,0,75,75,76,232.5677018329734,,,,,,,,232.55395337508526,232.5677018329734,233.55341158306692,233.5611930830637,234.76272758306004,t,1.2033491249894723,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
62,120,125,0,76,76,83,234.7778450830374,,,,,,,,234.76345937501173,234.7778450830374,235.76130095799454,235.76761308300775,237.07999183307402,l,1.3108966250438243,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
96,146,108,0,77,77,17,237.09495562501252,,,,,,,,237.08071300003212,237.09495562501252,238.0781498750439,238.08424520806875,239.26898283301853,l,1.1783851250074804,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
92,135,133,0,78,78,12,239.283239374985,,,,,,,,239.26969054108486,239.283239374985,240.26943579106592,240.2781466250308,242.62961004104,t,2.3529066250193864,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
78,140,135,0,79,79,51,242.64451912499499,,,,,,,,242.6303339160513,242.64451912499499,243.6281640829984,243.63439654104877,245.26273466600105,l,1.6195049580419436,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
81,94,112,0,80,80,46,245.27730475005228,,,,,,,,245.26331629103515,245.27730475005228,246.26161366607994,246.26781670807395,250.09629870799836,t,3.8181966660777107,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
10,31,69,0,81,81,50,250.11160920804832,,,,,,,,250.09702295798343,250.11160920804832,251.09506187506486,251.10114891605917,253.12019645806868,t,2.017467666999437,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
59,91,120,0,82,82,9,253.13465570798144,,,,,,,,253.1209135830868,253.13465570798144,254.12088429101277,254.1277418329846,257.4298140410101,t,3.303388625034131,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
